id,tag,value
ebsco_EBSCOhost1html_1,doi,10.3916/C65-2020-04
ebsco_EBSCOhost1html_2,doi,10.5477/cis/reis.172.41
ebsco_EBSCOhost1html_3,doi,46.2020.2670
ebsco_EBSCOhost1html_4,doi,10.5477/cis/reis.172.21
ebsco_EBSCOhost1html_5,doi,10.1007/s41636-020-00245-5
ebsco_EBSCOhost1html_6,doi,10.1007/s11614-020-00412-1
ebsco_EBSCOhost1html_7,doi,10.5902/1983465922046
ebsco_EBSCOhost1html_9,doi,10.1080/11356405.2020.1741876
ebsco_EBSCOhost1html_10,doi,10.1111/ropr.12331
ebsco_EBSCOhost1html_11,doi,10.1002/jts.22434
ebsco_EBSCOhost1html_12,doi,10.1080/24694452.2018.1470925
ebsco_EBSCOhost1html_14,doi,10.24425/122461
ebsco_EBSCOhost1html_15,doi,10.1080/24694452.2019.1696664
ebsco_EBSCOhost1html_16,doi,10.21874/rsp.v71i0.4770
ebsco_EBSCOhost1html_17,doi,10.17649/TET.34.2.3216
ebsco_EBSCOhost1html_18,doi,10.1080/24694452.2019.1571895
ebsco_EBSCOhost1html_19,doi,10.33423/jhetp.v20i2.2836
ebsco_EBSCOhost1html_20,doi,10.24908/ss.v18i3.13428
ebsco_EBSCOhost1html_21,doi,10.12759/hsr.45.2020.3.342-368
ebsco_EBSCOhost1html_22,doi,10.12759/hsr.45.2020.3.244-269
ebsco_EBSCOhost1html_23,doi,10.12759/hsr.45.2020.3.209-243
ebsco_EBSCOhost1html_24,doi,10.12759/hsr.45.2020.3.314-341
ebsco_EBSCOhost1html_25,doi,10.12759/hsr.45.2020.3.288-313
ebsco_EBSCOhost1html_26,doi,10.12759/hsr.45.2020.3.270-287
ebsco_EBSCOhost1html_28,doi,10.3224/gender.v11i3.02
ebsco_EBSCOhost1html_29,doi,10.1007/s11614-019-00348-1
ebsco_EBSCOhost1html_30,doi,10.2298/SOC1904550M
ebsco_EBSCOhost1html_31,doi,10.1080/24694452.2016.1222263
ebsco_EBSCOhost1html_33,doi,10.1080/00045608.2015.1121804
ebsco_EBSCOhost1html_34,doi,10.1080/00045608.2015.1117937
ebsco_EBSCOhost1html_35,doi,10.3916/C59-2019-10
ebsco_EBSCOhost1html_36,doi,10.1080/2373566X.2018.1543552
