container.title,created,deposited,published.online,doi,indexed,issn,issue,issued,member,page,prefix,publisher,score,source,reference.count,references.count,is.referenced.by.count,subject,title,type,url,abstract,short.container.title,author,link,license,alternative.id,language,reference,volume,published.print,update.policy,assertion,subtitle,funder,archive
Derecho PUCP,2021-06-04,2021-06-04,2021-05-27,10.18800/derechopucp.202101.012,2022-04-04,"2305-2546,0251-3420",86,2021-05-27,8100,397-426,10.18800,Sistema de Bibliotecas PUCP,1,Crossref,0,0,0,Law,Razonamiento moral e identidad moral en abogados dedicados al arbitraje,journal-article,http://dx.doi.org/10.18800/derechopucp.202101.012,"<jats:p>El arbitraje ofrece una manera rápida y efectiva de solucionar controversias entre diferentes entidades. Los abogados que se dedican a la labor arbitral tienen la responsabilidad de dar solución a dichos conflictos con justicia e imparcialidad. Dada la importancia de esta función, es necesario contar con profesionales que hayan desarrollado del modo más pleno posible sus capacidades morales. Lamentablemente, diversos actos de corrupción han puesto en duda la capacidad moral de algunos árbitros y evidenciado la necesidad de investigar el desarrollo moral en dicha población. En este contexto, el presente estudio tuvo como objetivo describir y analizar las características del razonamiento moral y de la identidad moral de un grupo de abogados que destinan buena parte de su labor profesional al arbitraje. Para ello, participaron diecisiete abogados, hombres y mujeres, que dedican más del 50 % de su tiempo al arbitraje. Los resultados indican que los participantes cuentan, principalmente, con un razonamiento de naturaleza convencional que los hace priorizar las expectativas interpersonales y el mantenimiento del sistema social por sobre los principios morales. Adicionalmente, los entrevistados evidencian diversos tipos de identidad, algunas relacionadas a lo social o a lo prosocial, pero ninguna estrictamente moral. Los resultados se discuten haciendo énfasis en las consecuencias de la falta de desarrollo del razonamiento y la identidad moral, y en la necesidad repensar la formación moral del abogado en las facultades de derecho.</jats:p>",DERECHO,,,,NA,NA,,NA,NA,NA,,NA,,NA
Kybernetes,2023-04-04,2023-04-04,2023-04-06,10.1108/k-12-2022-1650,2023-04-05,0368-492X,NA,2023-04-06,140,NA,10.1108,Emerald,1,Crossref,28,28,0,"Computer Science (miscellaneous),Social Sciences (miscellaneous),Theoretical Computer Science,Control and Systems Engineering,Engineering (miscellaneous)","Social media, echo chambers and contingency: a system theoretical approach about communication in the digital space",journal-article,http://dx.doi.org/10.1108/k-12-2022-1650,"<jats:sec><jats:title content-type=""abstract-subheading"">Purpose</jats:title><jats:p>There is a growing worry about people possibly isolating themselves in online bubbles and avoiding contact with ideas that differ from their beliefs, creating a scenario of ideological polarization. To investigate into this matter, this work aims for a reflection about the contingency of communication in social media. Does social media make the experience of communication in the digital space more contingent (providing it with more possibilities, with people accessing different contents and ideas) or less contingent (reducing the available possibilities, making people isolate themselves)?</jats:p></jats:sec><jats:sec><jats:title content-type=""abstract-subheading"">Design/methodology/approach</jats:title><jats:p>This is a theoretical work, constructed through bibliographical reviews. To reflect about the question that are posed, the author selected Niklas Luhmann's social systems theory to approach the concept of contingency. In addition to that, the author presented the main arguments of the debates about echo chambers and online bubbles. In the end, the author combined the two reviews together using elements of the Luhmannian theory and drew some conclusions about the initial question.</jats:p></jats:sec><jats:sec><jats:title content-type=""abstract-subheading"">Findings</jats:title><jats:p>The study concluded that social media have an ambivalent potential regarding contingency in the digital space: it can both expand or reduce the available possibilities of communication, depending on criteria like topic, potential of diffusion and focus of attention. There is no one-side effect.</jats:p></jats:sec><jats:sec><jats:title content-type=""abstract-subheading"">Research limitations/implications</jats:title><jats:p>The approach at echo chambers does not reflect “the” form of contingency in social media, but “a” form. Therefore, the study cannot provide any general conclusions about the relation between contingency and social media. The digital space is a large one, and more studies are required to achieve more substantial propositions.</jats:p></jats:sec><jats:sec><jats:title content-type=""abstract-subheading"">Originality/value</jats:title><jats:p>The research has an originality value both for systems theory and social media studies. First, because, as far as the author knows, no other system-theoretical argument has taken the connection between contingency and social media as a primary analysis object. Second, because of a theoretical interpretation effort, the studies of echo chambers indicate mixed results about the phenomenon of online isolation, but no attempt was made to make sense of these mixed results from a specific sociological theory. The author did that by using Luhmann's theoretical framework, which proved to be a good tool for explaining and unifying these different results on a more abstract level.</jats:p></jats:sec>",K,,,,10.1108/K-12-2022-1650,en,,NA,NA,NA,,NA,,NA
Sustainability,2021-09-15,2023-01-09,2021-09-14,10.3390/su131810247,2023-01-10,2071-1050,18,2021-09-14,1968,10247,10.3390,MDPI AG,1,Crossref,122,122,0,"Management, Monitoring, Policy and Law,Renewable Energy, Sustainability and the Environment,Geography, Planning and Development,Building and Construction","Dementia and COVID-19 in Chile, New Zealand and Germany: A Research Agenda for Cross-Country Learning for Resilience in Health Care Systems",journal-article,http://dx.doi.org/10.3390/su131810247,"<jats:p>The COVID-19 pandemic has revealed existing gaps in policies, systems and services, stressing the need for concerted global action on healthy aging. Similar to the COVID-19 pandemic, dementia is a challenge for health systems on a global scale. Our hypothesis is that translational potential lies in cross-country learning by involving three high-income countries with distinct geo-political-cultural-social systems in Latin America (Chile), the South Pacific (New Zealand) and Europe (Germany). Our vision is that such cross-country learning will lead to providing adequate, equitable and sustainable care and support for families living with dementia during a pandemic and beyond. We are proposing a vision for research that takes a multi-disciplinary, strength-based approach at the intersection of health care research, disaster research, global health research and dementia research. We present some insights in support of our hypothesis and proposed research agenda. We anticipate that this research has the potential to contribute towards strengthening and transforming health care systems in times of crises and beyond.</jats:p>",Sustainability,,,,su131810247,en,,13,NA,NA,,NA,,NA
Educação &amp; Sociedade,2022-03-22,2023-01-29,2022,10.1590/es.244848,2023-01-30,1678-4626,NA,2022,530,NA,10.1590,FapUNIFESP (SciELO),1,Crossref,42,42,0,NA,"NO LUGARES, ESCUELA E IDENTIDAD: LA PERFORMANCE COMO HERRAMIENTA EDUCATIVA",journal-article,http://dx.doi.org/10.1590/es.244848,"<jats:p>RESUMEN El presente trabajo considera que el sistema educativo no se ha adaptado a los cambios sociales, que exigen de una educación centrada en los procesos colaborativos. Para comprobar la hipótesis anterior, los autores aplican, en un contexto social y temporal determinado, la práctica discursiva y de producción de sentido, con el fin de que la percepción objetiva de la organización escolar dé paso a la duda fenomenológica y a la construcción de un nuevo discurso que responda a las demandas actuales. Los resultados obtenidos en el marco de este estudio evidencian que, atendiendo al diseño del espacio físico y virtual, en la organización escolar conviven dos discursos: el democrático, que pretende dar lugar al alumnado y el transmisivo, que impone o legitima un sistema social.</jats:p>",Educ. Soc.,,,,S0101-73302022000100304,NA,,43,NA,NA,,NA,,NA
Dados,2022-07-22,2022-07-26,2023,10.1590/dados.2023.66.1.283,2022-07-27,"1678-4588,0011-5258",1,2023,530,NA,10.1590,FapUNIFESP (SciELO),1,Crossref,29,29,0,General Social Sciences,En Busca de Ontología en el Proyecto Des-Ontologizador de Niklas Luhmann,journal-article,http://dx.doi.org/10.1590/dados.2023.66.1.283,"<jats:p>RESUMEN Entre las numerosas controversias que suele estimular el pensamiento sociológico de Niklas Luhmann, destaca la diversidad de interpretaciones sobre el principio de la des-ontologización radical de la semántica tradicional vétero-europea. Dada la vigencia del debate, el presente trabajo identifica un conjunto de elementos ontológicos en su teoría y sostiene que, lejos de invalidarla, son fundamentales para afrontar los problemas que plantea. Puntualmente, examina su conceptualización de la ontología, la complejidad, los sistemas, los sistemas complejos, el tiempo y la realidad como condición de posibilidad de la ciencia.</jats:p>",Dados,,,,S0011-52582023000100205,NA,,66,NA,NA,,NA,,NA
Revista Opinião Jurídica (Fortaleza),2022-05-19,2022-05-19,2022-05-19,10.12662/2447-6641oj.v20i34.p197-227.2022,2022-05-19,"2447-6641,1806-0420",34,2022-05-19,4932,197,10.12662,Instituto para o Desenvolvimento da Educacao,1,Crossref,0,0,0,Law,A CONSTITUCIONALIZAÇÃO DAS AUTORREGULA(MENTA)ÇÕES PRÓPRIAS DOS REGIMES SOCIAIS EM PAÍSES PERIFÉRICOS E A IMPRESCINDIBILIDADE DE REGULAÇÃO ESTATAL MÍNIMA SOBRE DIREITOS FUNDAMENTAIS PARA A MANUTENÇÃO DO EQUILÍBRIO DINÂMICO ENTRE OS ÂMBITOS INTERNOS DOS SISTEMAS SOCIAIS,journal-article,http://dx.doi.org/10.12662/2447-6641oj.v20i34.p197-227.2022,"<jats:p>Objetivo: O presente trabalho, sem pretensões de esgotamento do tema, tem por escopo geral estudar a proposta teórica firmada pelo constitucionalismo social desenvolvido por GuntherTeubner, com foco na ideia de constitucionalismo para além do Estado e nas funções dos direitos fundamentais nesse viés inovador, sobretudo, nas relações horizontais transnacionais. Como objetivo específico, o presente artigo analisa, incialmente, a viabilidade de tal teoria constitucional em países de modernidade tardia, especialmente, no que diz respeito à aplicação dos “testes de qualidade” propostos pelo constitucionalismo social, para que as normas dos regimes transnacionais adquiram o statusconstitucional. Nesse passo, o artigo aponta sua lupa com ênfase para a imprescindibilidade de um equilíbrio dinâmico nas relações entre os âmbitos internos dos subsistemas sociais (espontâneos e organizacionais) e as dificuldades de isso acontecer em países do Sul Global, o que leva a uma impossibilidade de constitucionalização das autorregula(menta)ções produzidas exclusivamente pelos próprios regimes setoriais sociais em tais lugares. Ao final, observa-se que, em países periféricos, é indispensável uma regulação estatal mínima sobre as autorregula(menta)ções produzidas pelos subsistemas sociais, em que se garantiria a participação dos direitos fundamentais como ferramentas de equilíbrio entre os âmbitos internos dos subsistemas sociais (espontâneos e organizacionais).Metodologia: A pesquisa possui natureza básica ou pura, adota o método qualitativo-dedutivo e utiliza o procedimento bibliográfico, com o escopo de confirmar a hipótese levantada na resolução do problema suscitado. Nesse sentido, serão observados: a) os efeito da globalização e da hipercomplexidade sistêmica da sociedade mundial sobre a tradicional ideia de constitucionalismo liberal-moderno e a teoria do constitucionalismo social de GuntherTeubner; b) neste cenário, a mudança de paradigma das funções dos direitos fundamentais, que abandonam o histórico viés individual-subjetivista em favor de uma perspectiva institucional-transubjetiva-coletiva; c) a consequência que isso traz para a eficácia dos direitos fundamentais sobre as relações privadas, sobretudo, as de nível transnacional; e, por fim, d) o impacto do desequilíbrio nas relações entre os âmbitos internos dos subsistemas sociais (espontâneos e organizacionais) nos países periféricos e as repercussões sobre a possibilidade de aplicação da teoria do constitucionalismo social de GuntherTeubner, especialmente no que diz respeito à exclusividade de produção de autorregula(menta)ções com status constitucional pelos próprios subsistemas sociais. Resultados: Constatou-se que, em países de modernidade tardia, em face do desequilíbrio nas relações entre os âmbitos internos dos subsistemas sociais (espontâneos e organizacionais), há uma extrema dificuldade de aplicação direta e pura da teoria do constitucionalismo social de GuntherTeubner, especialmente no que diz respeito à exclusividade de produção de autorregula(menta)ções com status constitucional pelos próprios subsistemas sociais. Nessas regiões do planeta, a constitucionalidade de tais normas depende de uma regulação mínima do Estado em que se garanta a participação dos direitos fundamentais como mantenedores do equilíbrio na dinâmica daquelas relações.Contribuições: Em países periféricos, a constitucionalidade de normas dos regimes sociais próprios (autorregula(menta)ções) depende de uma regulação mínima do Estado, em que se garanta a participação dos direitos fundamentais como mantenedores do equilíbrio na dinâmica entre as relações dos âmbitos internos (espontâneo e organizacional) dos sistemas sociais.</jats:p>",OJ,,,,NA,NA,,20,NA,NA,,NA,,NA
Principia: an international journal of epistemology,2021-07-08,2021-07-08,2021-07-08,10.5007/1808-1711.2021.e73843,2022-04-07,"1808-1711,1414-4247",1,2021-07-08,2924,157-174,10.5007,Universidade Federal de Santa Catarina (UFSC),1,Crossref,0,0,0,"History and Philosophy of Science,Philosophy","Acciones, sistemas normativos o creencias ¿Dónde se fundamenta la violencia?",journal-article,http://dx.doi.org/10.5007/1808-1711.2021.e73843,"<jats:p>En el presente artículo evalúo el concepto de violencia, explorando casos hipotéticos que permitan establecer cuáles son las condiciones o criterios que muestran cuándo una acción puede ser calificada como violenta. Frente a esto, parto de la idea de que una acción es violenta cuando rompe reglas o normas, las cuales son establecidas por sistemas sociales que se fundan en sistema de creencias. Concluyo, así, que hay que examinar los sistemas de creencias, donde se fundan los sistemas sociales, para erradicar todo tipo de acción que pueda romper reglas o normas. </jats:p>",Principia,,,,NA,NA,,25,NA,NA,,NA,,NA
European Journal of Pragmatism and American Philosophy,2022-10-18,2023-04-26,2022-10-17,10.4000/ejpap.3074,2023-04-27,2036-4091,2,2022-10-17,2399,NA,10.4000,OpenEdition,1,Crossref,1,1,0,"Sociology and Political Science,Applied Psychology,Philosophy",La concepción de información de Peirce entre 1867-1869,journal-article,http://dx.doi.org/10.4000/ejpap.3074,NA,ejpap,,,,NA,NA,,XIV,NA,NA,,NA,,NA
Lua Nova: Revista de Cultura e Política,2022-12-15,2022-12-16,2022-05,10.1590/0102-197228/116,2022-12-16,"1807-0175,0102-6445",116,2022-05,530,197-228,10.1590,FapUNIFESP (SciELO),1,Crossref,27,27,0,Sociology and Political Science,"DIFERENCIAÇÃO DA SOCIEDADE, DESIGUALDADE SOCIAL E INDIVIDUALIZAÇÃO: UMA REINTERPRETAÇÃO DA TESE DE ULRICH BECK",journal-article,http://dx.doi.org/10.1590/0102-197228/116,"<jats:p>Resumo O artigo busca dar uma contribuição ao rico debate entre a tese da individualização de Ulrich Beck e o paradigma da desigualdade social estruturada. Enquanto os defensores da tese da individualização postulam um desacoplamento entre ação social e origem de classe, os adeptos do paradigma da desigualdade estruturada o negam. A tese principal do artigo é que não se trata de um desacoplamento entre origem de classe e ação social, mas sim de um afrouxamento nas relações de interdependência entre as formas de desigualdade e ação dos diferentes sistemas sociais, de modo que o seu significado para a ação social no interior de outro sistema torna-se contingente.</jats:p>",Lua Nova,,,,S0102-64452022000200197,NA,,NA,NA,NA,,NA,,NA
Sociologias,2022-01-17,2022-01-17,2021-09,10.1590/15174522-102487,2022-04-04,"1807-0337,1517-4522",58,2021-09,530,238-267,10.1590,FapUNIFESP (SciELO),1,Crossref,39,39,0,General Social Sciences,A dinâmica sistêmica da internalização da sustentabilidade: estudo de caso em uma usina do setor sucroenergético,journal-article,http://dx.doi.org/10.1590/15174522-102487,"<jats:p>Resumo A proposta do presente trabalho é analisar o processo de internalização da temática da sustentabilidade ambiental numa usina do setor sucroenergético. Para tanto, lançou-se mão da perspectiva teórica de Niklas Luhmann e de sua teoria dos sistemas autorreferenciais, em específico, sua conceituação de sistemas organizacionais. Utilizaram-se os seguintes procedimentos de pesquisa: análise documental e entrevistas com gestores, com roteiro semiestruturado. Os resultados obtidos demonstram que, por meio de “irritações” provenientes de outros sistemas, sobretudo do mercado (economia) e do direito, a organização estudada internalizou a sustentabilidade ambiental, traduzindo este tema para a linguagem econômica do lucro e da lei. A resposta da organização, de forma geral, foi diferenciar-se internamente, com a criação de um subsistema organizacional destinado à gestão ambiental da organização; este passou a pressionar outros subsistemas organizacionais para internalizar tal temática – compras, gestão de pessoas, produção –, generalizando, assim, o tema da sustentabilidade ambiental.</jats:p>",Sociologias,,,,S1517-45222021005800238,NA,,23,NA,NA,,NA,,NA
