"Authors","Author full names","Author(s) ID","Title","Year","Source title","Volume","Issue","Art. No.","Page start","Page end","Page count","Cited by","DOI","Link","Affiliations","Authors with affiliations","Abstract","Author Keywords","Index Keywords","Correspondence Address","Editors","Publisher","ISSN","ISBN","CODEN","PubMed ID","Language of Original Document","Abbreviated Source Title","Document Type","Publication Stage","Open Access","Source","EID"
"Garcés J.V.; Hidalgo S.F.; Marconi A.C.; Rullé M.A.","Garcés, Jorge Villalba (57208012958); Hidalgo, Susana Frisancho (35324310900); Marconi, Alessandro Caviglia (57224855503); Rullé, Marlene Anchante (57224863949)","57208012958; 35324310900; 57224855503; 57224863949","Moral reasoning and moral identity in lawyers dedicated to arbitration; [Razonamiento moral e identidad moral en abogados dedicados al arbitraje]","2021","Derecho PUCP","","86","","397","426","29","0","10.18800/DERECHOPUCP.202101.012","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85108454496&doi=10.18800%2fDERECHOPUCP.202101.012&partnerID=40&md5=1cf8575fd4e5aff1a31e800646531840","Psicología Educacional por la Pontificia Universidad Católica del Perú (PUCP), Peru; Psicología del Desarrollo por Fordham University, Nueva York, Mexico; Departamento de Psicología de la PUCP, Peru; Grupo de Investigación en Cognición, Aprendizaje y Desarrollo, Departamento de Psicología, Peru; Departamento de Teología de la PUCP, Peru; Grupo de Investigación de Filosofía Social, Peru; Centro de Análisis y Resolución de Conflictos de la PUCP, Peru","Garcés J.V., Psicología Educacional por la Pontificia Universidad Católica del Perú (PUCP), Peru; Hidalgo S.F., Psicología del Desarrollo por Fordham University, Nueva York, Mexico, Departamento de Psicología de la PUCP, Peru, Grupo de Investigación en Cognición, Aprendizaje y Desarrollo, Departamento de Psicología, Peru; Marconi A.C., Departamento de Teología de la PUCP, Peru, Grupo de Investigación de Filosofía Social, Peru; Rullé M.A., Centro de Análisis y Resolución de Conflictos de la PUCP, Peru","Arbitration offers a fast and effective way to resolve disputes between different entities. Arbitrators have the responsibility to solve these conflicts with justice and impartiality. Given the importance of this function, it is necessary to have professionals who have developed their moral capacities to the fullest extent. Unfortunately, various acts of corruption have cast doubt on the moral capacity of some arbitrators and have highlighted the need to investigate the moral development of this population. In this context, the present study aimed to describe and analyze the characteristics of moral reasoning and moral identity of a group of lawyers who devote a good part of their professional work to arbitration. Seventeen lawyers, men and women, who devote more than 50 % of their time to arbitration, participated in this study. The results indicate that, generally speaking, participants reason at a conventional level that makes them prioritize interpersonal expectations and the maintenance of the social system over moral principles. Additionally, the interviewees show different types of identities, some related to social or prosocial issues, but none strictly moral. The results are discussed emphasizing the consequences of low moral reasoning and poor moral identity development, and the need to rethink the moral education of students in law schools. © 2021 Pontificia Universidad Catolica del Peru. All rights reserved.","Arbitration; Arbitrators; Moral development; Moral identity; Moral reasoning","","","","Pontificia Universidad Catolica del Peru","02513420","","","","Spanish","Derecho PUCP","Article","Final","All Open Access; Gold Open Access; Green Open Access","Scopus","2-s2.0-85108454496"
"Rodrigues da Cunha Palmieri E.","Rodrigues da Cunha Palmieri, Emerson (58175480600)","58175480600","Social media, echo chambers and contingency: a system theoretical approach about communication in the digital space","2023","Kybernetes","","","","","","","0","10.1108/K-12-2022-1650","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85152059011&doi=10.1108%2fK-12-2022-1650&partnerID=40&md5=4324819405d288bb5d12b9800197d7e9","Department of Sociology, University of São Paulo (USP), São Paulo, Brazil","Rodrigues da Cunha Palmieri E., Department of Sociology, University of São Paulo (USP), São Paulo, Brazil","Purpose: There is a growing worry about people possibly isolating themselves in online bubbles and avoiding contact with ideas that differ from their beliefs, creating a scenario of ideological polarization. To investigate into this matter, this work aims for a reflection about the contingency of communication in social media. Does social media make the experience of communication in the digital space more contingent (providing it with more possibilities, with people accessing different contents and ideas) or less contingent (reducing the available possibilities, making people isolate themselves)? Design/methodology/approach: This is a theoretical work, constructed through bibliographical reviews. To reflect about the question that are posed, the author selected Niklas Luhmann's social systems theory to approach the concept of contingency. In addition to that, the author presented the main arguments of the debates about echo chambers and online bubbles. In the end, the author combined the two reviews together using elements of the Luhmannian theory and drew some conclusions about the initial question. Findings: The study concluded that social media have an ambivalent potential regarding contingency in the digital space: it can both expand or reduce the available possibilities of communication, depending on criteria like topic, potential of diffusion and focus of attention. There is no one-side effect. Research limitations/implications: The approach at echo chambers does not reflect “the” form of contingency in social media, but “a” form. Therefore, the study cannot provide any general conclusions about the relation between contingency and social media. The digital space is a large one, and more studies are required to achieve more substantial propositions. Originality/value: The research has an originality value both for systems theory and social media studies. First, because, as far as the author knows, no other system-theoretical argument has taken the connection between contingency and social media as a primary analysis object. Second, because of a theoretical interpretation effort, the studies of echo chambers indicate mixed results about the phenomenon of online isolation, but no attempt was made to make sense of these mixed results from a specific sociological theory. The author did that by using Luhmann's theoretical framework, which proved to be a good tool for explaining and unifying these different results on a more abstract level. © 2023, Emerald Publishing Limited.","Communication; Contingency; Echo chambers; Isolation; Luhmann; Social media; Social system","","E. Rodrigues da Cunha Palmieri; Department of Sociology, University of São Paulo (USP), São Paulo, Brazil; email: emersonpalmieri93@gmail.com","","Emerald Publishing","0368492X","","","","English","Kybernetes","Article","Article in press","","Scopus","2-s2.0-85152059011"
"Ocampo S.P.","Ocampo, Sergio Pignuoli (55443166700)","55443166700","Digital communication: Operational definition and approach to participation in the form of digital inclusion/exclusion; [Comunicación digital: Definición operativa y aproximación a la participación bajo la forma inclusión/exclusión digital]","2022","Revista Mad","46","","","70","83","13","0","10.5354/0719-0527.2022.68542","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85149229419&doi=10.5354%2f0719-0527.2022.68542&partnerID=40&md5=2d723ebce0a538ac8090bc33e14947f7","Facultad de Ciencias Sociales, la Universidad de Buenos Aires, Argentina","Ocampo S.P., Facultad de Ciencias Sociales, la Universidad de Buenos Aires, Argentina","This paper elaborates a definition of digital communication as an operative unit via reviewing technical and sociological conditions triggered by the emergence of digital media. Examining and comparing general and particular aspects of the communicative synthesis with the broad model of communication proposed by Niklas Luhmann, an operational definition of digital communication is proposed, and ultimately tested through an initial analysis of the rearrangement of the participation conditions in communication. To achieve the latter, an exploration of the methodological link between the analysis of the participation conditions and the inclusion/exclusion distinction is conducted, which is, in turn, adjusted for the research of communication technologies and propagation media. © 2022 Universidad de Chile. All rights reserved.","Digital communication; Digital medium; Inclusion/Exclusion; Information and communication technologies; Participation","","S.P. Ocampo; Facultad de Ciencias Sociales, la Universidad de Buenos Aires, Argentina; email: spignuoli@conicet.gov.ar","","Universidad de Chile","07180527","","","","Spanish","Rev. Mad","Article","Final","","Scopus","2-s2.0-85149229419"
"Uribe F.L.; Arteaga O.; Bruchhausen W.; Cheung G.; Cullum S.; Fuentes-García A.; Castillo C.M.; Kerse N.; Kirk R.; Muru-Lanning M.; Ríos R.A.S.; Schrott L.; Slachevsky A.; Roes M.","Uribe, Franziska Laporte (57263081400); Arteaga, Oscar (7801576754); Bruchhausen, Walter (23494879400); Cheung, Gary (56496490500); Cullum, Sarah (6602443737); Fuentes-García, Alejandra (55100690500); Castillo, Claudia Miranda (57262551000); Kerse, Ngaire (6701834549); Kirk, Ray (55734348841); Muru-Lanning, Marama (40762034000); Ríos, Rodrigo Alejandro Salinas (57263813900); Schrott, Lothar (7003719014); Slachevsky, Andrea (56394322900); Roes, Martina (16310387400)","57263081400; 7801576754; 23494879400; 56496490500; 6602443737; 55100690500; 57262551000; 6701834549; 55734348841; 40762034000; 57263813900; 7003719014; 56394322900; 16310387400","Dementia and covid-19 in chile, new zealand and germany: A research agenda for cross-country learning for resilience in health care systems","2021","Sustainability (Switzerland)","13","18","10247","","","","0","10.3390/su131810247","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85115155208&doi=10.3390%2fsu131810247&partnerID=40&md5=7b564e3df5221dc5a5d1e8274d3560f7","Deutsches Zentrum für Neurodegenerative Erkrankungen e.V. (DZNE) site Witten, Witten, 58453, Germany; Department of Nursing Science, Faculty of Health, University of Witten/Herdecke, Witten, 58453, Germany; Faculty of Medicine, School of Public Health, Universidad de Chile, Santiago, 8330015, Chile; Institute for Hygiene and Public Health, University Hospital Bonn (UKB), Bonn, 53127, Germany; Department of Psychological Medicine, Faculty of Medical and Health Sciences, University of Auckland, Auckland, 1023, New Zealand; Millennium Institute for Research in Depression and Personality, Faculty of Nursing, Universidad Andrés Bello, Santiago, 7550196, Chile; School of Health Sciences, University of Canterbury, Christchurch, 8140, New Zealand; James Henare Research Centre, University of Auckland, Auckland, 1142, New Zealand; Department of Geography, University of Bonn, Bonn, 53115, Germany; Geroscience Center for Brain Health and Metabolism (GERO), Santiago, Chile; Neuropsychology and Clinical Neuroscience Laboratory (LANNEC), Physiopathology Department—Institute of Biomedical Sciences (ICBM), Neuroscience and East Neuroscience Departments, Faculty of Medicine, University of Chile, Santiago, 8330015, Chile; Memory and Neuropsychiatric Clinic (CMYN), Neurology Department, Hospital del Salvador and Faculty of Medicine, University of Chile, Santiago, 8330015, Chile; Departamento de Neurologia, Clínica Alemana-Universidad del Desarrollo, Santiago, Chile","Uribe F.L., Deutsches Zentrum für Neurodegenerative Erkrankungen e.V. (DZNE) site Witten, Witten, 58453, Germany, Department of Nursing Science, Faculty of Health, University of Witten/Herdecke, Witten, 58453, Germany; Arteaga O., Faculty of Medicine, School of Public Health, Universidad de Chile, Santiago, 8330015, Chile; Bruchhausen W., Institute for Hygiene and Public Health, University Hospital Bonn (UKB), Bonn, 53127, Germany; Cheung G., Department of Psychological Medicine, Faculty of Medical and Health Sciences, University of Auckland, Auckland, 1023, New Zealand; Cullum S., Department of Psychological Medicine, Faculty of Medical and Health Sciences, University of Auckland, Auckland, 1023, New Zealand; Fuentes-García A., Faculty of Medicine, School of Public Health, Universidad de Chile, Santiago, 8330015, Chile; Castillo C.M., Millennium Institute for Research in Depression and Personality, Faculty of Nursing, Universidad Andrés Bello, Santiago, 7550196, Chile; Kerse N., Department of Psychological Medicine, Faculty of Medical and Health Sciences, University of Auckland, Auckland, 1023, New Zealand; Kirk R., School of Health Sciences, University of Canterbury, Christchurch, 8140, New Zealand; Muru-Lanning M., James Henare Research Centre, University of Auckland, Auckland, 1142, New Zealand; Ríos R.A.S., Faculty of Medicine, School of Public Health, Universidad de Chile, Santiago, 8330015, Chile; Schrott L., Department of Geography, University of Bonn, Bonn, 53115, Germany; Slachevsky A., Geroscience Center for Brain Health and Metabolism (GERO), Santiago, Chile, Neuropsychology and Clinical Neuroscience Laboratory (LANNEC), Physiopathology Department—Institute of Biomedical Sciences (ICBM), Neuroscience and East Neuroscience Departments, Faculty of Medicine, University of Chile, Santiago, 8330015, Chile, Memory and Neuropsychiatric Clinic (CMYN), Neurology Department, Hospital del Salvador and Faculty of Medicine, University of Chile, Santiago, 8330015, Chile, Departamento de Neurologia, Clínica Alemana-Universidad del Desarrollo, Santiago, Chile; Roes M., Deutsches Zentrum für Neurodegenerative Erkrankungen e.V. (DZNE) site Witten, Witten, 58453, Germany, Department of Nursing Science, Faculty of Health, University of Witten/Herdecke, Witten, 58453, Germany","The COVID-19 pandemic has revealed existing gaps in policies, systems and services, stressing the need for concerted global action on healthy aging. Similar to the COVID-19 pandemic, dementia is a challenge for health systems on a global scale. Our hypothesis is that translational potential lies in cross-country learning by involving three high-income countries with distinct geopolitical-cultural-social systems in Latin America (Chile), the South Pacific (New Zealand) and Europe (Germany). Our vision is that such cross-country learning will lead to providing adequate, equitable and sustainable care and support for families living with dementia during a pandemic and beyond. We are proposing a vision for research that takes a multi-disciplinary, strength-based approach at the intersection of health care research, disaster research, global health research and dementia research. We present some insights in support of our hypothesis and proposed research agenda. We anticipate that this research has the potential to contribute towards strengthening and transforming health care systems in times of crises and beyond. © 2021 by the authors. Licensee MDPI, Basel, Switzerland.","Chile; Community setting; COVID-19 pandemic; Dementia; Disaster research; Germany; New Zealand; Resilience; Strength-based; Sustainable health care systems","Germany; Latin America; New Zealand; Pacific Ocean; Pacific Ocean (South); COVID-19; geopolitics; health care; learning","F.L. Uribe; Deutsches Zentrum für Neurodegenerative Erkrankungen e.V. (DZNE) site Witten, Witten, 58453, Germany; email: franziska.laporte-uribe@dzne.de","","MDPI","20711050","","","","English","Sustainability","Article","Final","All Open Access; Gold Open Access; Green Open Access","Scopus","2-s2.0-85115155208"
"Martínez-Vérez M.V.; Albar-Mansoa J.; Pallarès-Piquer M.","Martínez-Vérez, María V. (57204642468); Albar-Mansoa, Javier (57211808048); Pallarès-Piquer, Marc (56304398700)","57204642468; 57211808048; 56304398700","NO PLACES, HIGH SCHOOL AND IDENTITY: PERFORMANCE AS AN EDUCATIONAL TOOL; [SEM LUGARES, ESCOLA E IDENTIDADE: A PERFORMANCE COMO FERRAMENTA EDUCACIONAL]; [NO LUGARES, ESCUELA E IDENTIDAD: LA PERFORMANCE COMO HERRAMIENTA EDUCATIVA]","2022","Educacao e Sociedade","43","","e244848","","","","0","10.1590/ES.244848","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85130602250&doi=10.1590%2fES.244848&partnerID=40&md5=ffd7a854937cb696263df0c340512e47","Universidad Nacional de Educación a Distancia, Departamento de Trabajo Social, Facultad de Trabajo Social, A Coruña, Spain; Universidad Complutense de Madrid, Departamento de Escultura y Formación Artística, Facultad de Bellas Artes, Madrid, Spain; Universitat Jaume I, Departamento de Pedagogía, Facultad de Ciencias Humanas y Sociales, Castelló, Spain","Martínez-Vérez M.V., Universidad Nacional de Educación a Distancia, Departamento de Trabajo Social, Facultad de Trabajo Social, A Coruña, Spain; Albar-Mansoa J., Universidad Complutense de Madrid, Departamento de Escultura y Formación Artística, Facultad de Bellas Artes, Madrid, Spain; Pallarès-Piquer M., Universitat Jaume I, Departamento de Pedagogía, Facultad de Ciencias Humanas y Sociales, Castelló, Spain","This study considers that the educational system’s lack of adaptation to social changes require an education focused on collaborative processes. To verify the previous hypothesis, the authors apply, in a specific social and temporal context, discursive practice and meaning-making processes, so that the objective perception of the school organization makes way to phenomenological inquiry and construction of a new discourse that responds to current demands. The results obtained in the framework of this study show that, considering the design of the physical and virtual space, two discourses coexist in the school organization: a democratic discourse that aims to give place to the students; and the transmissible one, which imposes or legitimizes a social system. © 2022, Centro de Estudos Educacao e Sociedade - CEDES. All rights reserved.","Art Education; Community; Human Development; Performance; Status","","","","Centro de Estudos Educacao e Sociedade - CEDES","01017330","","","","Spanish","Educ. Soc.","Article","Final","All Open Access; Gold Open Access; Green Open Access","Scopus","2-s2.0-85130602250"
"Giordano P.M.","Giordano, Pedro Martín (57533731300)","57533731300","In pursuit of ontology in Niklas Luhmann’s de-ontologization project; [À la Recherche de l’Ontologie dans le Projet de Dé-Ontologisation de Niklas Luhmann]; [Em Busca da Ontologia no projeto des-ontologizante de Niklas Luhmann]; [En Busca de Ontología en el Proyecto Des-Ontologizador de Niklas Luhmann]","2023","Dados","66","1","e20200084","","","","0","10.1590/dados.2023.66.1.283","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85134622593&doi=10.1590%2fdados.2023.66.1.283&partnerID=40&md5=330317c89b9810346a015c41bcfb7867","Becario posdoctoral del Consejo Nacional de Investigaciones Científicas y Técnicas (CONICET), con sede en el Instituto de Investigaciones Gino Germani (IIGG), Buenos Aires, Argentina","Giordano P.M., Becario posdoctoral del Consejo Nacional de Investigaciones Científicas y Técnicas (CONICET), con sede en el Instituto de Investigaciones Gino Germani (IIGG), Buenos Aires, Argentina","Within the several controversies aroused by Niklas Luhmann’s sociological approach, stands a wide range of interpretations about the radical de-ontolo-gization of traditional vetero-european semantics. Due the contemporary rele-vance of this discussion, the following article identifies a group of ontological elements and argues that, far from refuting his theory, these are substantial to cope with its issues. Specifically, it examines Luhmann’s conceptualizations on ontology, complexity, systems, complex systems, time and reality as science’s condition of possibility. © 2023, Instituto de Estudos Sociais e Politicos (IESP), UERJ. All rights reserved.","complexity; ontology; reality; systems; time","","P.M. Giordano; Becario posdoctoral del Consejo Nacional de Investigaciones Científicas y Técnicas (CONICET), con sede en el Instituto de Investigaciones Gino Germani (IIGG), Buenos Aires, Argentina; email: pedrogiordano83@yahoo.com.ar","","Instituto de Estudos Sociais e Politicos (IESP), UERJ","00115258","","","","Spanish","Dados","Article","Final","All Open Access; Gold Open Access","Scopus","2-s2.0-85134622593"
"Mendes G.F.; Carvalho L.C.","Mendes, Gilmar Ferreira (57226140517); Carvalho, Leonardo Cerqueira (57984497700)","57226140517; 57984497700","THE CONSTITUTIONALIZATION OF SELF-REGULATION(MENTA)TIONS OWNED IN SOCIAL SYSTEMS IN PERIPHERAL COUNTRIES AND THE IMPERATIVENESS OF MINIMUM STATE REGULATION ON FUNDAMENTAL RIGHTS TO MAINTAIN THE DYNAMIC BALANCE BETWEEN THE INTERNAL SCOPE OF SOCIAL SYSTEMS; [A CONSTITUCIONALIZAÇÃO DAS AUTORREGULA(MENTA)ÇÕES PRÓPRIAS DOS REGIMES SOCIAIS EM PAÍSES PERIFÉRICOS E A IMPRESCINDIBILIDADE DE REGULAÇÃO ESTATAL MÍNIMA SOBRE DIREITOS FUNDAMENTAIS PARA A MANUTENÇÃO DO EQUILÍBRIO DINÂMICO ENTRE OS ÂMBITOS INTERNOS DOS SISTEMAS SOCIAIS]; [LA CONSTITUCIONALIZACIÓN DE LA AUTORREGULACIÓN(MENTA) PROPIEDAD EN LOS SISTEMAS SOCIALES DE LOS PAÍSES PERIFÉRICOS Y LA IMPERATIVA DE LA REGULACIÓN ESTATAL MÍNIMA SOBRE LOS DERECHOS FUNDAMENTALES PARA MANTENER EL EQUILIBRIO DINÁMICO ENTRE EL ÁMBITO INTERNO DE LOS SISTEMAS SOCIALES]","2022","Revista Opiniao Juridica","20","34","","197","227","30","0","10.12662/2447-6641oj.v20i34.p197-227.2022","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85142780573&doi=10.12662%2f2447-6641oj.v20i34.p197-227.2022&partnerID=40&md5=9064eec2f04526c9bb8bf213bea0b6dc","Instituto Brasiliense de Direito Público (IDP) e ministro do Supremo Tribunal Federal (STF), DF, Brasília, Brazil; IDP, PI, Teresina, Brazil","Mendes G.F., Instituto Brasiliense de Direito Público (IDP) e ministro do Supremo Tribunal Federal (STF), DF, Brasília, Brazil; Carvalho L.C., IDP, PI, Teresina, Brazil","Objective: The present work, without pretensions of exhaustion of the theme, has the general scope to study the theoretical proposal established by the social constitutionalism developed by GuntherTeubner, focusing on the idea of constitutionalism beyond the State and on the functions of fundamental rights in this innovative bias, especially, in transnational horizontal relations. As a specific objective, this article initially analyzes the feasibility of such a constitutional theory in late modern countries, especially with regard to the application of the ""quality tests"" proposed by social constitutionalism, so that the norms of transnational regimes acquire the constitutional status. In this step, the article points its magnifying glass with emphasis on the indispensability of a dynamic balance in the relations between the internal spheres of the social subsystems (spontaneous and organizational) and the difficulties of this happening in countries of the Global South, which leads to an impossibility of constitutionalization of the self-regulations produced exclusively by the social sectoral regimes in such places. In the end, it is observed whether, in peripheral countries, a minimum state regulation on the self-regulation(mentation) produced by the social subsystems is essential, through which the participation of fundamental rights as tools of balance the internal spheres of the social subsystems (spontaneous and organizational). Methodology: The research has a basic or pure nature, adopts the qualitative-deductive method and uses the bibliographic procedure, with the scope of confirming the hypothesis raised in solving the problem raised. In this sense, the following will be observed: a) the effects of globalization and the systemic hypercomplexity of world society on the traditional idea of liberal-modern constitutionalism and Gunther Teubner's theory of social constitutionalism; b) in this scenario, the paradigm shift in the functions of fundamental rights, which abandon the historical individual-subjectivist bias in favor of an institutional-trans-subjective-collective perspective; c) the consequences that this brings to the effectiveness of fundamental rights on private relationships, especially those at a transnational level; and, finally, d) the impact of the imbalance in the relations between the internal spheres of the social subsystems (spontaneous and organizational) in peripheral countries and the repercussions on the possibility of applying Gunther Teubner's theory of social constitutionalism, especially with regard to the exclusivity in the production of self-regulation(mentations) with constitutional status by the social subsystems themselves. Results: It was found that, in late modern countries, given the imbalance in the relationships between the internal spheres of social subsystems (spontaneous and organizational), there is an extreme difficulty in the direct and pure application of Gunther Teubner's theory of social constitutionalism, especially with regard to the exclusivity of production of self-regulation(mentations) with constitutional status by the social subsystems themselves. In these regions of the planet, the constitutionality of such norms depends on a minimum regulation of the State, through which the participation of fundamental rights as maintainers of balance in the dynamics of those relations is guaranteed. Contributions: In peripheral countries, the constitutionality of norms of their own social regimes (self-regulation(ment) tions) depends on a minimum regulation of the State, through which the participation of fundamental rights is guaranteed as maintainers of balance in the dynamics between the relationships of the areas internal (spontaneous and organizational) of social systems. © 2022 by the Author(s).","fundamental rights; self-regulation regulated; social constitutionalism; theory of social systems; third party effect","","G.F. Mendes; Instituto Brasiliense de Direito Público (IDP) e ministro do Supremo Tribunal Federal (STF), Brasília, DF, Brazil; email: MGilmar@stf.jus.br","","Centro Universitario Christus","18060420","","","","Portuguese","Revista. Opin. Jurid.","Article","Final","All Open Access; Gold Open Access","Scopus","2-s2.0-85142780573"
"Suárez-Rivero D.","Suárez-Rivero, David (57194095836)","57194095836","Actions, normative systems or beliefs: Where is violence based?; [ACCIONES, SISTEMAS NORMATIVOS O CREENCIAS ¿dÓNDE SE FUNDAMENTA LA VIOLENCIA?]","2021","Principia","25","1","","157","174","17","0","10.5007/1808-1711.2021.E73843","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85111257665&doi=10.5007%2f1808-1711.2021.E73843&partnerID=40&md5=44b5e4fc3a6f2cba888c4afcb4f7929d","Universidad Vasco de Quiroga, Universidad Autónoma de Tlaxcala, Morelia, Mexico","Suárez-Rivero D., Universidad Vasco de Quiroga, Universidad Autónoma de Tlaxcala, Morelia, Mexico","In this paper, I evaluate the concept of violence. I explore hypothetical cases which let us establish conditions or criteria for an action to be considered violent. I start with the idea that an action is violent when it breaks rules or norms that are established by social systems, which are based on belief systems. I conclude that we need to examine the belief systems, where the social systems are based, in order to eradicate any kind of action that could break rules or norms.  © 2021 The author(s).","Actions; Belief systems; Normative systems; Violence","","D. Suárez-Rivero; Universidad Vasco de Quiroga, Universidad Autónoma de Tlaxcala, Morelia, Mexico; email: darisua@gmail.com","","Federal University of Santa Catarina","14144247","","","","Spanish","Principia","Article","Final","All Open Access; Gold Open Access; Green Open Access","Scopus","2-s2.0-85111257665"
"De Boeck M.E.; Gavriloff I.V.","De Boeck, Martín Eduardo (57972924500); Gavriloff, Ivan Vladimir (57973769300)","57972924500; 57973769300","Peirce's conception of information between 1867-1869; [La concepción de información de Peirce entre 1867-1869]","2022","European Journal of Pragmatism and American Philosophy","14","2","","","","","0","10.4000/ejpap.3074","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85142351309&doi=10.4000%2fejpap.3074&partnerID=40&md5=38507f18a6019b8e6a489b064d7449a2","CONICET (Consejo Nacional de Investigaciones Científicas y Técnicas) - IEP, FFyL, Instituto de Epistemología, Facultad de Filosofía y Letras, Universidad Nacional de Tucumán, Argentina","De Boeck M.E., CONICET (Consejo Nacional de Investigaciones Científicas y Técnicas) - IEP, FFyL, Instituto de Epistemología, Facultad de Filosofía y Letras, Universidad Nacional de Tucumán, Argentina; Gavriloff I.V., CONICET (Consejo Nacional de Investigaciones Científicas y Técnicas) - IEP, FFyL, Instituto de Epistemología, Facultad de Filosofía y Letras, Universidad Nacional de Tucumán, Argentina","Peirce's analyses of the concept of information begin in the period from 1865 to 1869 and continue until the last years of his life. In fact, the successive phases that the scholars distinguish about Peirce's approaches to information, roughly match Fisch's periodization of Peirce's philosophical development. In the first phase his approach is restricted to the proposition and the terms that knock it into shape; the forms of inference prevail. In the second phase the concept of information is enriched with the development of Peirce's semiotic theory and his typology of signs. By last, his concept of information receives a more decidedly metaphysical stamp. In this paper we will just expose Peirce's conception of information during the first of these phases, foregrounding his papers Upon Logical Comprehension and Extension (W2 [1867]: 70-86) and Questions on Reality (W2 [1868]: 162-87). Here, individuals explore and actualize possibilities in thought, once they articulate their experience through a social system of signs. That's why, in inferring, ""we ought to say that we are in thought, and not that thoughts are in us"" (EP 1 [1868]: 42). © Associazione Culturale Pragma. All rights reserved.","","","","","Associazione Culturale Pragma","20364091","","","","Spanish","European J. Pragmat. American Philos.","Article","Final","All Open Access; Gold Open Access","Scopus","2-s2.0-85142351309"
"Neto N.C.","Neto, Nicolau Cardoso (57802569400)","57802569400","THE LEGAL GUARDIANSHIP OF WATER AS COUPLING BETWEEN ENVIRONMENTAL AND HEALTH LAW; [A TUTELA JURÍDICA DA ÁGUA COMO ACOPLAMENTO ENTRE O DIREITO AMBIENTAL E SANITÁRIO]","2022","Revista Juridica","2","69","","740","760","20","0","10.26668/revistajur.2316-753X.v2i69.5915","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85134152522&doi=10.26668%2frevistajur.2316-753X.v2i69.5915&partnerID=40&md5=864dc879b3a23420e0fa8e423aba119c","UNISINOS. Mestre em Engenharia Ambiental – FURB, Brazil","Neto N.C., UNISINOS. Mestre em Engenharia Ambiental – FURB, Brazil","Objectives: This research presents an approach about identification identification of the occurrence of structural coupling between the operations of the Subsystems Environmental Law and Legal Health of the Brazilian Legal System about water with quality and potable for human consumption. Methodology: The method of approach is systemic; it was used water with quality and potable for human consumption as an operation to understand if they occur irritations between structures of the referred subsystems. It is used as base theory the Social Systems of Niklas Luhmann, in particular the book The Law of Society. Results: The results demonstrated the occurrence structural coupling between the subsystems as to the operationalization of environmental protection and the execution of health actions in regard to the theme water with quality by identifying the irritation of operations, through processes and conditions that seek to guarantee quality for water; by means of processes and conditions seeking to ensure quality of the water; either in the natural space on the use of natural resources or even on those of providing water access service which aim to protect water resources in order to have on management and protection modes of this to have quality for different uses, and, consequently, safety to be served as drinking water for consumption accomplished by the population. Contributions: This study is of unequal importance for the application of the Agenda and the goals pointed out by the UN. Without the legal technical support for the implementation of the objective, there is a risk that it will be just another political commitment assumed, without there being a legal provision to ensure the practical application of the objectives of Agenda 2030. © 2022, Centro Universitario Curitiba - UNICURITIBA. All rights reserved.","Operations of the Environmental Legal; Structural coupling; Subsystem and Health Law; Systemic Irritation; Water with Quality","","N.C. Neto; UNISINOS. Mestre em Engenharia Ambiental – FURB, Brazil; email: ncardoso@furb.br","","Centro Universitario Curitiba - UNICURITIBA","2316753X","","","","Portuguese","Rev. Jurid.","Article","Final","","Scopus","2-s2.0-85134152522"
