"","lon","lat","pais"
"1",-95.4604032,37.6430412,"1"
"2",-95.625612,37.0331375,"2"
"3",-95.712891,37.09024,"3"
"4",-95.7057796,37.2231212,"4"
"5",-95.6340531,37.0436406,"5"
"6",-95.934508,36.707347,"6"
"7",-97.1052601,36.1017264,"7"
"8",-95.7416153,37.2260818,"8"
"9",-95.7060493,37.2360436,"9"
"10",-92.0400009,34.9783668,"10"
"11",-96.8229133,33.1505558,"11"
"12",-94.8772471,36.8751723,"12"
"13",-97.3897263,37.6910225,"13"
"14",-94.6063317,38.9711388,"14"
"15",-95.9286069,36.1604313,"15"
"16",-95.9980098,36.1602597,"16"
"17",-97.066842,36.743109,"17"
"18",-95.1500292,36.636829,"18"
"19",-95.620701,36.3131255,"19"
"20",-95.9193145,36.1065113,"20"
"21",-95.8346991,36.1325702,"21"
"22",-94.5825639,39.0822781,"22"
"23",-95.8499528,36.1301837,"23"
"24",-94.469138,37.085515,"24"
"25",-95.854642,36.264299,"25"
"26",-97.7480575,30.2906388,"26"
"27",-94.7220382,38.9022483,"27"
"28",-94.541254,36.185764,"28"
"29",-94.8773549,36.8735797,"29"
"30",-95.9683065,36.7404957,"30"
"31",-95.8527396,36.1198468,"31"
"32",-73.9867678,40.7530847,"32"
"33",-97.2493858,37.6810296,"33"
"34",-96.3046652,37.2185103,"34"
