id,tag,value
journal-article-10.2307_26204953,keyword,keywords
journal-article-10.2307_26204953,keyword,big data
journal-article-10.2307_26204953,keyword,ecological theory
journal-article-10.2307_26204953,keyword,environmentalism
journal-article-10.2307_26204953,keyword,global change
journal-article-10.2307_26204953,keyword,new conservation
journal-article-10.2307_26292280,keyword,keywords
journal-article-10.2307_26292280,keyword,algorithm
journal-article-10.2307_26292280,keyword,calculation
journal-article-10.2307_26292280,keyword,data
journal-article-10.2307_26292280,keyword,insecurity
journal-article-10.2307_26292280,keyword,science
journal-article-10.2307_26292280,keyword,security
journal-article-10.2307_26292283,keyword,keywords
journal-article-10.2307_26292283,keyword,anticipation
journal-article-10.2307_26292283,keyword,conjectural reasoning
journal-article-10.2307_26292283,keyword,counterterrorism
journal-article-10.2307_26292283,keyword,institutional habitus
journal-article-10.2307_26292283,keyword,security practices
journal-article-10.2307_26292284,keyword,keywords
journal-article-10.2307_26292284,keyword,critical theory
journal-article-10.2307_26292284,keyword,european union
journal-article-10.2307_26292284,keyword,foucault
journal-article-10.2307_26292284,keyword,security
journal-article-10.2307_26292284,keyword,terror
journal-article-10.2307_26292284,keyword,profiling
journal-article-10.2307_26292341,keyword,keywords
journal-article-10.2307_26292341,keyword,civil society
journal-article-10.2307_26292341,keyword,critical theory
journal-article-10.2307_26292341,keyword,european union
journal-article-10.2307_26292341,keyword,foreign policy
journal-article-10.2307_26292341,keyword,securitization
journal-article-10.2307_26292341,keyword,security
journal-article-10.2307_26292341,keyword,violence
journal-article-10.2307_26378220,keyword,keywords
journal-article-10.2307_26378220,keyword,global history
journal-article-10.2307_26378220,keyword,jacques revel
journal-article-10.2307_26378220,keyword,microhistoire
journal-article-10.2307_26378220,keyword,microhistory
journal-article-10.2307_26378220,keyword,microstoria
journal-article-10.2307_26419963,keyword,keywords
journal-article-10.2307_26419963,keyword,debt
journal-article-10.2307_26419963,keyword,capitalism
journal-article-10.2307_26419963,keyword,equality
journal-article-10.2307_26419963,keyword,finance
journal-article-10.2307_26419963,keyword,middle class
journal-article-10.2307_26482979,keyword,keywords
journal-article-10.2307_26482979,keyword,research
journal-article-10.2307_26482979,keyword,terrorism
journal-article-10.2307_26482979,keyword,counterterrorism
journal-article-10.2307_26482995,keyword,keywords
journal-article-10.2307_26482995,keyword,bibliography
journal-article-10.2307_26482995,keyword,resources
journal-article-10.2307_26482995,keyword,literature
journal-article-10.2307_26482995,keyword,terrorism research
journal-article-10.2307_26482995,keyword,terrorism studies
journal-article-10.2307_26482995,keyword,concepts
journal-article-10.2307_26482995,keyword,theories
journal-article-10.2307_26482995,keyword,methods
journal-article-10.2307_26482995,keyword,models
journal-article-10.2307_26482995,keyword,approaches
journal-article-10.2307_26482995,keyword,research topics
journal-article-10.2307_26510624,keyword,keywords
journal-article-10.2307_26510624,keyword,egovernment
journal-article-10.2307_26510624,keyword,egovernance
journal-article-10.2307_26510624,keyword,edemocracy
journal-article-10.2307_26510624,keyword,eparticipation
journal-article-10.2307_26510624,keyword,electronic voting
journal-article-10.2307_26510624,keyword,electronic participation
journal-article-10.2307_26510624,keyword,participatory politics
journal-article-10.2307_26510624,keyword,public administration
journal-article-10.2307_26510624,keyword,citizens budgets
journal-article-10.2307_26510624,keyword,representative democracy
journal-article-10.2307_26510624,keyword,citizenship and participation
journal-article-10.2307_26510624,keyword,icts
journal-article-10.2307_26510624,keyword,lobbyforme
journal-article-10.2307_26510624,keyword,united states
journal-article-10.2307_26510624,keyword,palabras clave
journal-article-10.2307_26510624,keyword,gobierno electrónico
journal-article-10.2307_26510624,keyword,participación electrónica
journal-article-10.2307_26510624,keyword,gobernanza electrónica
journal-article-10.2307_26510624,keyword,democracia electrónica
journal-article-10.2307_26510624,keyword,democracia representativa
journal-article-10.2307_26510624,keyword,ciudadanía y participación
journal-article-10.2307_26510624,keyword,presupuestos ciudadanos online
journal-article-10.2307_26531927,keyword,keywords
journal-article-10.2307_26531927,keyword,press freedom
journal-article-10.2307_26531927,keyword,political economy
journal-article-10.2307_26531927,keyword,selfcensorship
journal-article-10.2307_26531927,keyword,digital media
journal-article-10.2307_26531927,keyword,media business
journal-article-10.2307_26531927,keyword,hong kong
journal-article-10.2307_26532993,keyword,keywords
journal-article-10.2307_26532993,keyword,digital sociology
journal-article-10.2307_26532993,keyword,digital methods
journal-article-10.2307_26532993,keyword,scholarship
journal-article-10.2307_26532993,keyword,epistemology
journal-article-10.2307_26532993,keyword,palavraschave
journal-article-10.2307_26532993,keyword,sociologia digital
journal-article-10.2307_26532993,keyword,métodos digitais
journal-article-10.2307_26532993,keyword,trabalho académico
journal-article-10.2307_26532993,keyword,epistemologia
journal-article-10.2307_26533634,keyword,keywords
journal-article-10.2307_26533634,keyword,mathematical models
journal-article-10.2307_26533634,keyword,numerical models
journal-article-10.2307_26533634,keyword,computational science
journal-article-10.2307_26533634,keyword,scientific discovery
journal-article-10.2307_26533634,keyword,datascience
journal-article-10.2307_26555040,keyword,keywords
journal-article-10.2307_26555040,keyword,data generating processes
journal-article-10.2307_26555040,keyword,international benchmarking reviews
journal-article-10.2307_26555040,keyword,interpretive sociology
journal-article-10.2307_26555040,keyword,measurement
journal-article-10.2307_26555040,keyword,modelling
journal-article-10.2307_26555040,keyword,positivism
journal-article-10.2307_26555040,keyword,qualitative methods
journal-article-10.2307_26555040,keyword,quantitative methods
journal-article-10.2307_26555040,keyword,reflexivity
journal-article-10.2307_26555040,keyword,statistics
journal-article-10.2307_26555816,keyword,keywords
journal-article-10.2307_26555816,keyword,embourgeoisement
journal-article-10.2307_26555816,keyword,ethics
journal-article-10.2307_26555816,keyword,methodology
journal-article-10.2307_26555816,keyword,social class
journal-article-10.2307_26555816,keyword,sociology
journal-article-10.2307_26556369,keyword,keywords
journal-article-10.2307_26556369,keyword,50th anniversary
journal-article-10.2307_26556369,keyword,disciplinary identity
journal-article-10.2307_26556369,keyword,sociology
journal-article-10.2307_26556369,keyword,sociology journal
