id,reference
journal-article-10.1017_s0022381613000182.xml,"Ansolabehere, S., and B. F. Schaffner. N.d. “Re-Examining the Validity of Different Survey Modes for Measuring Public Opinion in the US: Findings From a 2010 Multi-Mode Comparison.” Harvard University. Unpublished manuscript."
journal-article-10.1017_s0022381613000182.xml,"Ansolabehere, S. D., S. Iyengar, and A. Simon. 1999. “Replicating Experiments Using Aggregate and Survey Data.” The American Political Science Review 
               93 (4): 901–09."
journal-article-10.1017_s0022381613000182.xml,"Ansolabehere, Stephen, and Eitan Hersh. 2012. “Validation: What Big Data Reveal About Survey Misreporting and the Real Electorate.” Political Analysis 
               20 (4): 437–59."
journal-article-10.1017_s0022381613000182.xml,"Arceneaux, K. 
               2010. “The Benefits of Experimental Methods for the Study of Campaign Effects.” Political Communication 
               27 (2): 199–215."
journal-article-10.1017_s0022381613000182.xml,"Arceneaux, Kevin. 2007. “I’m Asking for Your Support.” Quarterly Journal of Political Science 
               2 (1): 43–65."
journal-article-10.1017_s0022381613000182.xml,"Banks, Jeffrey S. 1990. “A Model of Electoral Competition with Incomplete Information.” Journal of Economic Theory 
               50 (2): 309–25."
journal-article-10.1017_s0022381613000182.xml,"Berinsky, Adam J., Gregory A. Huber, and Gabriel S. Lenz. 2012. “Evaluating Online Labor Markets for Experimental Research.” Political Analysis 
               20 (4): 351–68."
journal-article-10.1017_s0022381613000182.xml,"Bradburn, N. M., L. J. Rips, and S. K. Shevell. 1987. “Answering Autobiographical Questions: The Impact of Memory and Inference on Surveys.” Science 
               236 (4798): 157."
journal-article-10.1017_s0022381613000182.xml,"Brader, Ted. 2005. “Striking a Responsive Chord: How Political Ads Motivate and Persuade Voters by Appealing to Emotions.” American Journal of Political Science 
               49 (2): 388–405."
journal-article-10.1017_s0022381613000182.xml,"Brady, H. E., R. Johnston, and J. Sides. 2006. The Study of Political Campaigns. University of Michigan Press. 1–26."
journal-article-10.1017_s0022381613000182.xml,"Buhrmester, M., T. Kwang, and S. D. Gosling. 2011. “Amazon’s Mechanical Turk.” Perspectives on Psychological Science 
               6 (1): 3."
journal-article-10.1017_s0022381613000182.xml,"Chong, Dennis, and James N. Druckman. 2010. “Dynamic Public Opinion: Communication Effects Over Time.” American Political Science Review 
               104 (4): 663–80."
journal-article-10.1017_s0022381613000182.xml,"Cox, Gary W. 1990. “Centripetal and Centrifugal Incentives in Electoral Systems.” American Journal of Political Science 
               34 (4): 903–33."
journal-article-10.1017_s0022381613000182.xml,"Farrell, Joseph, and Robert Gibbons. 1989. “Cheap Talk with Two Audiences.” American Economic Review 
               79 (5): 1214–23."
journal-article-10.1017_s0022381613000182.xml,"Gay, C., and J. Hochschild. Forthcoming. “Is Racial Linked Fate Unique? Comparing Race, Ethnicity, Class, Gender, and Religion.”"
journal-article-10.1017_s0022381613000182.xml,"Gerber, A. S., J. G. Gimpel, D. P. Green, and D. R. Shaw. 2011. “How Large and Long-lasting Are the Persuasive Effects of Televised Campaign Ads? Results from a Randomized Field Experiment.” American Political Science Review 
               1 (1): 1–16."
journal-article-10.1017_s0022381613000182.xml,"Green, Donald P., and Alan S. Gerber. 2008. Get Out the Vote: How to Increase Voter Turnout. Washington, DC; Brookings Institution Press."
journal-article-10.1017_s0022381613000182.xml,"Grossmann, Matt. 2009. “Do the Strategists Know Something We Don’t Know? Campaign Decisions in American Elections.” The Forum 
               7 (3)."
journal-article-10.1017_s0022381613000182.xml,"Hayes, Danny. 2005. “Candidate Qualities Through a Partisan Lens: A Theory of Trait Ownership.” American Journal of Political Science 
               49 (4): 908–23."
journal-article-10.1017_s0022381613000182.xml,"Hillygus, D. S. and T. G. Shields. 2008. The Persuadable Voter: Wedge Issues in Presidential Campaigns. Princeton, NJ: Princeton University Press."
journal-article-10.1017_s0022381613000182.xml,"Holbrook, Thomas, and Scott McClurg. 2005. “The Mobilization of Core Supporters.” American Journal of Political Science 
               49 (4): 689–703."
journal-article-10.1017_s0022381613000182.xml,"Hopkins, Daniel J. 2011. “The Upside to Accents: Language, Skin Tone, and Attitudes Toward Immigration.” Working Paper, Georgetown University."
journal-article-10.1017_s0022381613000182.xml,"Huber, Gregory, and Kevin Arceneaux. 2007. “Identifying the Persuasive Effects of Presidential Advertising.” American Journal of Political Science 
               51 (4): 957–77."
journal-article-10.1017_s0022381613000182.xml,"Iyengar, S., and A. F. Simon. 2000. “New Perspectives and Evidence on Political Communication and Campaign Effects.” Annual Review of Psychology 
               51 (1): 149–69."
journal-article-10.1017_s0022381613000182.xml,"Iyengar, S., and N. A. Valentino. 2000.“Who Says What? Source Credibility as a Mediator of Campaign Advertising.” Elements of Reason: Cognition, Choice, and the Bounds of Rationality. 
               108–29."
journal-article-10.1017_s0022381613000182.xml,"Jensen, Thomas. 2009. “Projection Effects and Strategic Ambiguity in Electoral Competition.” Public Choice 
               141 (1): 213–32."
journal-article-10.1017_s0022381613000182.xml,"Johnston, Richard, Michael G. Hagen, and Kathleen Hall Jamieson. 2004. The 2000 Presidential Election and the Foundations of Party Politics. Cambridge: Cambrige University Press."
journal-article-10.1017_s0022381613000182.xml,"Jones-Correa, Michael, and David L. Leal. 1996. “Becoming Hispanic? Secondary Panethnic Identification Among Latin American-Origin Populations in the United States.” Hispanic Journal of Behavioral Sciences 
               18 (2): 214–54."
journal-article-10.1017_s0022381613000182.xml,"Kartik, N., and R. P. McAfee. 2007. “Signaling Character in Electoral Competition.” The American Economic Review 
               97 (3): 852–70."
journal-article-10.1017_s0022381613000182.xml,"McDermott, Monika L. 1997. “Voting Cues in Low-Information Elections.” American Journal of Political Science 
               41 (1): 270–83"
journal-article-10.1017_s0022381613000182.xml,"Meyerson, Roger B. 1993. “Incentives to Cultivate Favored Minorities Under Alternative Electoral Systems.” American Political Science Review 
               87 (4): 856–69."
journal-article-10.1017_s0022381613000182.xml,"Norton, Michael I., Jeana H. Frost, and Dan Ariely. 2007. “Less is More.” Journal of Personality and Social Psychology 
               92 (1): 97–105."
journal-article-10.1017_s0022381613000182.xml,"Nteta, Tatishe, and Brian F. Schaffner. Forthcoming. “Substance and Symbolism: Campaign Appeals to Minority Voters in U.S. Senate Elections.” Political Communication."
