document,topic,gamma
scopus_2462,1,0.01331699785803261
scopus_739,1,0.04213244838869919
scopus_1606,1,0.3824957438581059
scopus_168,1,0.0060687638034078555
scopus_59,1,0.0010876799281223383
scopus_3663,1,0.007272885745294364
scopus_124,1,0.01588345085910264
scopus_1705,1,0.0977138520313285
scopus_1829,1,0.01210260947690697
scopus_1713,1,0.0073712893752024096
scopus_3096,1,0.0010946214436454952
scopus_2943,1,0.020664272848381154
scopus_3198,1,0.009807674228082423
scopus_3261,1,0.004391766088628152
scopus_3560,1,0.015006177488765683
scopus_3749,1,0.0075565513982310635
scopus_4627,1,0.04669409039321359
scopus_4887,1,0.0220166311531515
scopus_5097,1,0.018494331772100477
scopus_3213,1,0.015166540094430256
scopus_378,1,8.202666065593949e-4
scopus_4240,1,0.007808499065501305
scopus_944,1,0.02971693675377543
scopus_1075,1,0.00841844655128642
scopus_119,1,0.008557975336686318
scopus_2156,1,0.006387615494787607
scopus_2234,1,0.007275434446991894
scopus_265,1,0.4230380480234769
scopus_2940,1,0.008945810394922296
scopus_3000,1,0.004819295271513487
scopus_3053,1,0.009359238012945716
scopus_3121,1,0.004221383879475276
scopus_3462,1,0.005586165225387296
scopus_3553,1,0.01001577836239432
scopus_3593,1,0.003921213426449946
scopus_1902,1,3.9702317248604426e-4
scopus_2111,1,0.10094977828984175
scopus_2728,1,0.007625059320732455
scopus_3056,1,0.007127299456093586
scopus_3568,1,0.003197411376580185
scopus_3875,1,4.4506715875992486e-4
scopus_4146,1,0.04585117845132772
scopus_4207,1,0.012029549486168056
scopus_4211,1,0.013556196544610216
scopus_4451,1,0.002365054625767928
scopus_5459,1,0.3740807077740894
scopus_5493,1,0.0030782804011224886
scopus_782,1,0.004130337084260126
scopus_883,1,0.004427802578496454
scopus_900,1,0.005942674101909225
scopus_918,1,0.007886781133766613
scopus_1059,1,0.009553386812154473
scopus_1204,1,0.001122867050131023
scopus_1287,1,0.00125982072267755
scopus_1296,1,0.002904160298485678
scopus_1764,1,0.1830482776118238
scopus_1834,1,0.010366331032848662
scopus_1905,1,0.004287285817637912
scopus_1966,1,0.005306211265058444
scopus_2220,1,0.053120738339313134
scopus_2408,1,0.003318064703231649
scopus_2526,1,0.006755922284801654
scopus_2607,1,0.06458728133783158
scopus_299,1,0.0698131237003131
scopus_3104,1,0.047538884040145515
scopus_3489,1,0.012351642092505815
scopus_3516,1,0.0010354600801383749
scopus_3523,1,5.918572935013173e-4
scopus_3542,1,0.044569312697234145
scopus_3874,1,0.0034896182744480683
scopus_4009,1,0.008855516121386573
scopus_4213,1,0.0048975118275099445
scopus_4215,1,0.6005077625431321
scopus_4243,1,0.0012812095785467846
scopus_4481,1,0.009146382827390446
scopus_4629,1,0.4025286011632169
scopus_4946,1,0.26986111357599113
scopus_5057,1,0.6550681702391915
scopus_528,1,0.08715745988197371
scopus_935,1,0.0081288298293791
scopus_1012,1,0.019190334722500414
scopus_1015,1,0.07305677332895139
scopus_1028,1,0.016826801853842062
scopus_1145,1,0.005168576514375281
scopus_125,1,0.00903061336754158
scopus_1654,1,0.0028568635385737493
scopus_1662,1,0.08219108846669207
scopus_173,1,0.007922452593114242
scopus_174,1,0.009448564931639479
scopus_1802,1,0.2119007815517764
scopus_1838,1,0.1407180550199631
scopus_1992,1,0.011329946737771948
scopus_2085,1,0.04794081245795813
scopus_2093,1,0.007901354059839789
scopus_2097,1,0.0023916174977063986
scopus_2554,1,0.6962840312619395
scopus_2716,1,0.09818099080603637
scopus_2717,1,0.009994289424942892
scopus_2972,1,0.004679746134109773
scopus_2995,1,0.00594606276613855
scopus_3194,1,0.26720278635585387
scopus_3269,1,0.003035226115891717
scopus_3274,1,0.005016508420734238
scopus_3352,1,0.14345033633747772
scopus_3389,1,0.0036612037546170343
scopus_366,1,0.05387334087527616
scopus_3667,1,0.008003090816380195
scopus_3754,1,0.0015633840419529447
scopus_4163,1,0.0072273621088447555
scopus_4300,1,0.007226797556197455
scopus_4395,1,0.019342612171483774
scopus_5219,1,0.01172189546485343
scopus_53,1,0.3388059668888271
scopus_5458,1,0.18037885031170803
scopus_5467,1,0.3424451688271454
scopus_5610,1,0.04158743897801294
scopus_672,1,0.011205287645596229
scopus_699,1,0.19358242389248698
scopus_729,1,0.0023715420756500205
scopus_874,1,0.0015172686019085915
scopus_1320,1,0.00504325120507532
scopus_1360,1,0.10396913909507637
scopus_1404,1,0.0026514027378428005
scopus_1519,1,0.027828902422733233
scopus_1539,1,0.012802542641621801
scopus_1690,1,0.0011879935774073086
scopus_1697,1,0.0090696680137184
scopus_1699,1,0.13938355268617092
scopus_1704,1,0.237534269989092
scopus_1772,1,0.07550325468363374
scopus_1801,1,0.0836137655147759
scopus_1827,1,0.26611964067883537
scopus_2147,1,0.05755285820171462
scopus_2228,1,0.3733342977345876
scopus_2260,1,4.993727848861044e-4
scopus_2282,1,0.007747084267062689
scopus_2283,1,0.00659232565725156
scopus_2415,1,0.03025355666770902
scopus_2465,1,0.004049735074177941
scopus_2559,1,0.0021170457253723426
scopus_2597,1,0.005339443524815755
scopus_2687,1,0.0060126289724760406
scopus_2941,1,0.0020943751306698346
scopus_2960,1,8.254566705242159e-4
scopus_2969,1,0.00630885768403471
scopus_3001,1,0.005212714599216898
scopus_3052,1,0.016978501690195057
scopus_3060,1,0.03577023779925612
scopus_3139,1,0.008007762693491464
scopus_3187,1,0.006737827777131904
scopus_3202,1,0.006419683864538666
scopus_330,1,0.0021093776998516267
scopus_3346,1,0.00967767521510828
scopus_3395,1,0.005033858250851103
scopus_3410,1,0.04682599159184373
scopus_3643,1,0.04335814219543077
scopus_3650,1,0.009534539287455403
scopus_3790,1,0.00647586140910496
scopus_3851,1,0.012510785176459949
scopus_4008,1,0.003721260778721131
scopus_4199,1,0.096530389431283
scopus_4231,1,9.986376822713596e-4
scopus_4233,1,0.017967126267437437
scopus_4369,1,0.019911506403170128
scopus_4449,1,0.007927225276468565
scopus_4642,1,0.5038715988800242
scopus_4735,1,0.16527029984761324
scopus_4771,1,8.535254363733202e-4
scopus_4912,1,0.004399789284037695
scopus_4973,1,0.007068622730570875
scopus_5201,1,0.09137333875185565
scopus_5202,1,0.02995852732277549
scopus_5239,1,0.010211445562232324
scopus_5499,1,0.015483570919794118
scopus_5621,1,0.0036944334322398685
scopus_625,1,0.08899005220890359
scopus_629,1,0.014804209741251817
scopus_647,1,0.6970883451613129
scopus_820,1,0.013389460602939277
scopus_979,1,0.003889239687370901
scopus_10,1,0.06715448599838188
scopus_1056,1,0.004075526318242441
scopus_1065,1,0.0027930470050745054
scopus_109,1,0.30358456357131186
scopus_1236,1,0.001689831948470339
scopus_1314,1,0.005671186474261816
scopus_1493,1,0.005958672927334498
scopus_1548,1,0.00941861275702981
scopus_1640,1,0.0020238412101254272
scopus_1666,1,0.023067152127206565
scopus_1674,1,0.006370562193720366
scopus_1680,1,0.6477628532636348
scopus_172,1,0.002067459494233205
scopus_1755,1,0.004973037066672145
scopus_1771,1,4.860464803536005e-4
scopus_1796,1,0.45105243925958305
scopus_1824,1,0.0020769951288075023
scopus_1836,1,0.07330073918591601
scopus_1849,1,0.4927095105205536
scopus_1931,1,0.23636724631006714
scopus_1932,1,0.027891169096797397
scopus_1995,1,0.013364355717533189
scopus_2073,1,0.7125971119250306
scopus_2096,1,0.012388772427566006
scopus_211,1,0.0016567483819168193
scopus_216,1,0.05092744995272633
scopus_2170,1,0.015046415257521636
scopus_2211,1,0.009699921662374876
scopus_2252,1,0.011513171230325293
scopus_228,1,0.03348521680160944
scopus_2284,1,0.002181121373707914
scopus_2308,1,0.34617436633284593
scopus_2332,1,0.005059376432633334
scopus_2448,1,0.08255173823358028
scopus_2496,1,0.0031274661104338606
scopus_2509,1,0.036225732473983585
scopus_2511,1,0.006641609594756428
scopus_2531,1,0.005230792479176037
scopus_2533,1,0.006281794762777006
scopus_2565,1,0.005807379939390626
scopus_2591,1,0.021140031831790522
scopus_2715,1,0.0037530375042722224
scopus_272,1,0.373999274768295
scopus_2730,1,0.00707554961979825
scopus_2733,1,0.001424096836168262
scopus_2897,1,0.020229087017738234
scopus_2998,1,0.5798009360799973
scopus_2999,1,0.0030252138243834267
scopus_3013,1,0.05161607907590378
scopus_304,1,0.004321787325913637
scopus_3111,1,0.5513286169826855
scopus_3117,1,0.012520210772135559
scopus_3123,1,0.02651024110777874
scopus_3173,1,0.012368248125868609
scopus_3214,1,0.01441201650742904
scopus_3250,1,0.008211785174927705
scopus_3312,1,0.06874165629668591
scopus_3324,1,0.012038105921400219
scopus_3394,1,0.0054519394994892445
scopus_3396,1,0.007058900929257352
scopus_3423,1,0.0023164630824787555
scopus_3468,1,0.12101379356392082
scopus_3473,1,0.0033927560228177852
scopus_3491,1,0.004315514738808067
scopus_3506,1,0.009148285496139523
scopus_3524,1,0.0014539024618920608
scopus_3536,1,0.0033856740660530623
scopus_3589,1,0.04646821576007766
scopus_3619,1,0.006266901718710891
scopus_3709,1,0.009042565224851036
scopus_3719,1,0.004812973317948437
scopus_3723,1,0.0010182532083611979
scopus_3787,1,0.04280748093558771
scopus_3788,1,0.003173741935643634
scopus_3902,1,0.004044977200547685
scopus_3909,1,0.008012412140160453
scopus_3940,1,0.6280183278726811
scopus_4002,1,8.173460318781583e-4
scopus_4015,1,0.05911711940384918
scopus_4162,1,0.010304230571251204
scopus_4209,1,0.6405777004713634
scopus_4236,1,0.009058455935763734
scopus_4237,1,0.17469415413801828
scopus_4393,1,0.019151731059720213
scopus_4526,1,0.07754334191923029
scopus_4542,1,0.2811694781355622
scopus_4549,1,0.09445445803594205
scopus_456,1,0.25176433088951033
scopus_4571,1,0.019473466531299912
scopus_4573,1,0.0179437391817904
scopus_4593,1,0.0028193703193142164
scopus_4756,1,0.00184030501477718
scopus_4760,1,0.056976451308044455
scopus_4777,1,0.0021251403187009846
scopus_4778,1,0.18330598427762979
scopus_4819,1,0.03781665434499741
scopus_484,1,0.23408496593700295
scopus_4851,1,0.014905204322086585
scopus_4862,1,0.015121457596933155
scopus_5063,1,0.07161366275107303
scopus_5213,1,0.05622434944925848
scopus_5222,1,0.0018381741123410843
scopus_5245,1,0.002159250342224904
scopus_5267,1,0.11636516627333449
scopus_5452,1,0.25056611984356425
scopus_5491,1,0.5600696116090021
scopus_5494,1,4.471152236205201e-4
scopus_5539,1,0.029006917319116032
scopus_554,1,0.012938447001173265
scopus_5563,1,0.010295985019378593
scopus_5603,1,0.7509062207726946
scopus_569,1,0.004742762923001263
scopus_589,1,0.008555443851515394
scopus_595,1,0.005001236575019179
scopus_668,1,0.008773253464313577
scopus_749,1,0.014679390459266719
scopus_763,1,0.019710517328196266
scopus_780,1,0.027183297621503316
scopus_792,1,0.002130110524983695
scopus_794,1,0.014357978947138464
scopus_831,1,0.004015979723167327
scopus_869,1,0.0025700780830197156
scopus_872,1,0.0034572378297331383
scopus_882,1,0.005038225450242615
scopus_971,1,0.0066193203035953795
scopus_1009,1,0.011284863167121583
scopus_1014,1,0.2577136281187813
scopus_1022,1,0.18277501544180777
scopus_1044,1,8.534307175534274e-4
scopus_1106,1,0.0037653513636545263
scopus_1125,1,0.0023643154058039934
scopus_1227,1,0.007609490660892411
scopus_1252,1,0.0174338248868313
scopus_1355,1,0.017851767091991336
scopus_1358,1,0.0011753221082418394
scopus_1361,1,0.016142520099556013
scopus_1365,1,0.036666504785349135
scopus_1433,1,0.0018271803497195503
scopus_1463,1,0.005808596307642577
scopus_1468,1,0.34042520742205407
scopus_1518,1,0.006068287023517538
scopus_153,1,0.011115477546631572
scopus_1603,1,0.015002201364559925
scopus_1700,1,0.05601498712269976
scopus_1711,1,0.3668520885864762
scopus_1761,1,0.0014297930058282144
scopus_1808,1,0.005226890744859389
scopus_1844,1,0.008927584700838915
scopus_1885,1,0.10222159251344885
scopus_1904,1,0.37883761033345914
scopus_1982,1,0.024203770383202046
scopus_1989,1,0.02245064132540828
scopus_1990,1,0.01641648597404179
scopus_2001,1,0.011457913977345026
scopus_2007,1,0.0019178099809814017
scopus_2010,1,0.6217713565481047
scopus_2047,1,0.025943070522647018
scopus_206,1,0.6168033171125729
scopus_2101,1,0.03351105531734921
scopus_2115,1,0.003861578245740545
scopus_2201,1,0.00995010078203098
scopus_2219,1,0.005673562322621845
scopus_2294,1,0.012982049542059008
scopus_2295,1,0.006946512544589828
scopus_2395,1,0.009881241498886669
scopus_2446,1,0.03831349000986567
scopus_2503,1,0.11560812626377491
scopus_2507,1,0.018058744658797095
scopus_2510,1,0.10299690444401208
