id,autor,orden,aff,aid,pais,orcid
journal-article-10.1017_s0022381613000182,"hersh, eitan d.",1,NA,NA,NA,NA
journal-article-10.1017_s0022381613000182,"schaffner, brian f.",2,NA,NA,NA,NA
journal-article-10.1086_679189,"lichterman, paul",1,NA,NA,NA,NA
journal-article-10.1086_679189,"eliasoph, nina",2,NA,NA,NA,0000-0002-9460-3384
journal-article-10.1086_680332,"ratti, emanuele",1,NA,NA,NA,0000-0003-1409-8240
journal-article-10.1086_681102,"manza, jeff",1,NA,NA,NA,0000-0002-8163-8334
journal-article-10.1086_682962,"murray-watters, alexander",1,NA,NA,NA,NA
journal-article-10.1086_682962,"glymour, clark",2,NA,NA,NA,0000-0002-7584-9928
journal-article-10.1086_683328,"pietsch, wolfgang",1,NA,NA,NA,0000-0002-3058-5623
journal-article-10.1086_684083,"leonelli, sabina",1,NA,NA,NA,0000-0002-7815-6609
journal-article-10.2307_135492,"jones, j.c.h.",1,NA,NA,NA,NA
journal-article-10.2307_20695317,"lachmann, richard",1,NA,NA,NA,0000-0001-5305-3462
journal-article-10.2307_23254603,"ruggles, steven",1,NA,NA,NA,0000-0001-5353-2578
journal-article-10.2307_23359641,"ansolabehere, stephen",1,NA,NA,NA,0000-0001-5240-9084
journal-article-10.2307_23359641,"hersh, eitan",2,NA,NA,NA,0000-0001-8826-5852
journal-article-10.2307_23526834,"cukier, kenneth",1,NA,NA,NA,NA
journal-article-10.2307_23526834,"mayer-schoenberger, viktor",2,NA,NA,NA,NA
journal-article-10.2307_23526865,"mead, walter russell",1,NA,NA,NA,NA
journal-article-10.2307_23527006,"thrun, sebastian",1,NA,NA,NA,NA
journal-article-10.2307_23527006,"rose, gideon",2,NA,NA,NA,NA
journal-article-10.2307_24017822,"avey, paul c.",1,NA,NA,NA,NA
journal-article-10.2307_24017822,"desch, michael c.",2,NA,NA,NA,NA
journal-article-10.2307_24032984,"ward, michael d.",1,NA,NA,NA,0000-0002-6561-6186
journal-article-10.2307_24032984,"metternich, nils w.",2,NA,NA,NA,NA
journal-article-10.2307_24032984,"dorff, cassy l.",3,NA,NA,NA,NA
journal-article-10.2307_24032984,"gallop, max",4,NA,NA,NA,0000-0001-6352-4301
journal-article-10.2307_24032984,"hollenbach, florian m.",5,NA,NA,NA,0000-0002-9599-556X
journal-article-10.2307_24032984,"schultz, anna",6,NA,NA,NA,0000-0002-3850-3848
journal-article-10.2307_24032984,"weschle, simon",7,NA,NA,NA,0000-0002-5106-5301
journal-article-10.2307_24033143,"kelley, scott",1,NA,NA,NA,0000-0002-3489-540X
journal-article-10.2307_24033143,"nahser, ron",2,NA,NA,NA,NA
journal-article-10.2307_24139028,"janssen, philip jost",1,NA,NA,NA,NA
journal-article-10.2307_24142701,"wiedemann, gregor",1,NA,NA,NA,0000-0002-4239-295X
journal-article-10.2307_24235037,"buhr, carl-christian",1,NA,NA,NA,NA
journal-article-10.2307_24235037,"kleiner, thibaut",2,NA,NA,NA,NA
journal-article-10.2307_24311162,"casilli, antonio a.",1,NA,NA,NA,0000-0003-2025-1627
journal-article-10.2307_24311162,"tubaro, paola",2,NA,NA,NA,0000-0002-1215-9145
journal-article-10.2307_24311187,"alwin, duane f.",1,NA,NA,NA,NA
journal-article-10.2307_24311189,"de leeuw, edith d.",1,NA,NA,NA,NA
journal-article-10.2307_24311408,"lee, yeon-ok",1,NA,NA,NA,0000-0002-9671-0482
journal-article-10.2307_24311408,"lee, yeon-ok",1,NA,NA,NA,0000-0003-3961-669X
journal-article-10.2307_24311408,"lee, yeon-ok",1,NA,NA,NA,0000-0003-0030-2052
journal-article-10.2307_24311408,"lee, yeon-ok",1,NA,NA,NA,0000-0002-2480-9184
journal-article-10.2307_24311408,"lee, yeon-ok",1,NA,NA,NA,0000-0003-1771-7481
journal-article-10.2307_24311408,"lee, yeon-ok",1,NA,NA,NA,0000-0002-9418-9734
journal-article-10.2307_24311408,"lee, raymond m.",2,NA,NA,NA,NA
journal-article-10.2307_24363487,"broockman, david e.",1,NA,NA,NA,NA
journal-article-10.2307_24371897,"hero, rodney e.",1,NA,NA,NA,NA
journal-article-10.2307_24371897,"tolbert, caroline j.",2,NA,NA,NA,NA
journal-article-10.2307_24371899,"herron, michael c.",1,NA,NA,NA,NA
journal-article-10.2307_24371899,"smith, daniel a.",2,NA,NA,NA,0000-0001-9708-253X
journal-article-10.2307_24371975,"pacheco, julianna",1,NA,NA,NA,0000-0002-1166-6612
journal-article-10.2307_24371975,"fletcher, jason",2,NA,NA,NA,0000-0002-1126-5296
journal-article-10.2307_24385612,"bishop, matthew",1,NA,NA,NA,0000-0001-6282-0205
journal-article-10.2307_24426475,"atia, mona",1,NA,NA,NA,0000-0002-7777-4202
journal-article-10.2307_24433255,"tubaro, paola",1,NA,NA,NA,0000-0002-1215-9145
journal-article-10.2307_24433725,"tinati, ramine",1,NA,NA,NA,0000-0002-6504-9804
journal-article-10.2307_24433725,"halford, susan",2,NA,NA,NA,0000-0001-5102-1790
journal-article-10.2307_24433725,"carr, leslie",3,NA,NA,NA,0000-0002-2113-9680
journal-article-10.2307_24433725,"pope, catherine",4,NA,NA,NA,0000-0001-6253-185X
journal-article-10.2307_24433743,"woodward, kath",1,NA,NA,NA,0000-0003-3292-7073
journal-article-10.2307_24433743,"murji, karim",2,NA,NA,NA,0000-0001-7490-7906
journal-article-10.2307_24433743,"neal, sarah",3,NA,NA,NA,0000-0002-2585-1245
journal-article-10.2307_24433743,"watson, sophie",4,NA,NA,NA,0000-0003-2981-8490
journal-article-10.2307_24441843,"hui, yuk",1,NA,NA,NA,0000-0002-3242-9819
journal-article-10.2307_24442114,"charlwood, andy",1,NA,NA,NA,NA
journal-article-10.2307_24442114,"forde, chris",2,NA,NA,NA,0000-0001-9518-7151
journal-article-10.2307_24442114,"grugulis, irena",3,NA,NA,NA,NA
journal-article-10.2307_24442114,"hardy, kate",4,NA,NA,NA,0000-0003-0167-3584
journal-article-10.2307_24442114,"kirkpatrick, ian",5,NA,NA,NA,0000-0002-0438-7615
journal-article-10.2307_24442114,"mackenzie, robert",6,NA,NA,NA,0000-0001-6486-0307
